org_code,org_name,org_type,postcode,region_name,is_current,first_month_seen,last_month_seen,months_type1,is_type1_provider,icb_code,icb_name,icb_code_2022,icb_name_2022
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NHS Trust,CV2 2DX,Midlands,true,202104,202606,63,true,QWU,NHS Coventry And Warwickshire Integrated Care Board,QWU,NHS Coventry And Warwickshire Integrated Care Board
RXF,MID YORKSHIRE TEACHING NHS TRUST,NHS Trust,WF1 4DG,North East and Yorkshire,true,202104,202606,63,true,QWO,NHS West Yorkshire Integrated Care Board,QWO,NHS West Yorkshire Integrated Care Board
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,NHS Trust,DT1 2JY,South West,true,202104,202606,63,true,QVV,NHS Dorset Integrated Care Board,QVV,NHS Dorset Integrated Care Board
RJN,EAST CHESHIRE NHS TRUST,NHS Trust,SK10 3BL,North West,true,202104,202606,63,true,QYG,NHS Cheshire And Merseyside Integrated Care Board,QYG,NHS Cheshire And Merseyside Integrated Care Board
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,NHS Trust,RG1 5AN,South East,true,202104,202606,63,true,QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board"
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,NHS Trust,LS9 7TF,North East and Yorkshire,true,202104,202606,63,true,QWO,NHS West Yorkshire Integrated Care Board,QWO,NHS West Yorkshire Integrated Care Board
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,NHS Trust,CO4 5JL,East of England,true,202104,202606,63,true,QJG,NHS Suffolk And North East Essex Integrated Care Board,QJG,NHS Suffolk And North East Essex Integrated Care Board
RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,NHS Trust,BN2 3EW,South East,true,202104,202606,0,false,QNX,NHS Sussex Integrated Care Board,QNX,NHS Sussex Integrated Care Board
RW4,MERSEY CARE NHS FOUNDATION TRUST,NHS Trust,L34 1PJ,North West,true,202104,202606,0,false,QYG,NHS Cheshire And Merseyside Integrated Care Board,QYG,NHS Cheshire And Merseyside Integrated Care Board
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,NHS Trust,BB2 3HH,North West,true,202104,202606,63,true,QE1,NHS Lancashire And South Cumbria Integrated Care Board,QE1,NHS Lancashire And South Cumbria Integrated Care Board
