region_code,region_name,month_key,vacancy_wte_total,vacancy_wte_nursing,vacancy_pressure_index,nursing_pressure_index
Y58,South West,202306,1828.64,478.82,1.1200175171170867,0.9482039484074235
Y61,East of England,202309,1701.14,424.82,1.2384676734485573,1.1090887651307908
Y56,London,202309,2971.8599999999997,840.08,1.139313406741108,1.071574919498691
Y59,South East,202310,3197.5099999999998,1121.7,1.17838192789744,1.318998809702643
Y62,North West,202312,2146.2,605.9,0.8929306020219082,0.8390005798506235
Y58,South West,202404,1640.97,496.17,1.0050721547508672,0.9825620339194506
Y63,North East and Yorkshire,202406,2950.9399999999996,812.01,1.0416191370963612,0.9915530772008794
Y59,South East,202409,2444.1600000000003,683.8,0.9007490118529129,0.804075408821135
Y63,North East and Yorkshire,202410,2770.8799999999997,724.39,0.9780617818720697,0.884559467978898
Y61,East of England,202411,1442.64,343.45,1.0502739365506817,0.8966539625821998
Y56,London,202411,2696.09,787.66,1.0335922562908866,1.0047099098804149
Y58,South West,202501,1456.73,430.31,0.8922276214618371,0.8521399294916637
Y60,Midlands,202502,2725.4500000000003,752.88,0.985335209921284,0.8946901834585466
Y62,North West,202503,2224.6000000000004,589.95,0.9255490715021608,0.8169143292339913
Y62,North West,202506,1784.7700000000002,482.24,0.7425569614065052,0.6677663634711416
Y62,North West,202510,2356.83,607.08,0.9805636151166219,0.8406345469808822
Y63,North East and Yorkshire,202511,2359.38,655.97,0.832811022820665,0.8010111600244588
Y62,North West,202602,2071.23,482.6,0.861739190581417,0.6682648619176612
Y60,Midlands,201604,1570.29,490.23,0.5677088285557588,0.5825682295145087
Y62,North West,201605,1820.23,518.57,0.7573101620158131,0.718073165032411
Y58,South West,201606,1242.8,451.76,0.7611983606795845,0.8946172167673397
Y61,East of England,201703,1248.27,355.32,0.9087682628917259,0.9276432842763349
Y56,London,201703,2763.55,889.0,1.05945420214929,1.1339754588067046
Y61,East of England,201704,957.23,279.43,0.6968846838327019,0.729515262088642
Y56,London,201704,2214.88,696.81,0.8491121648808307,0.8888250162554552
Y58,South West,201705,1353.9899999999998,451.04,0.8293007470039833,0.8931914057259186
Y58,South West,201707,1444.7800000000002,437.17,0.8849084064553028,0.8657247402474277
Y62,North West,201710,2126.77,679.02,0.8848467134759733,0.9402511532103819
Y58,South West,201803,1329.6599999999999,418.91,0.8143989477480015,0.8295645880024932
Y59,South East,201809,2230.69,724.42,0.8220786745753854,0.8518401691404016
Y63,North East and Yorkshire,201812,1824.1599999999999,683.85,0.6438897317890904,0.8350556912400356
Y60,Midlands,201902,2310.4500000000003,809.58,0.8352997617870922,0.9620700227451522
Y62,North West,201904,2675.3,924.35,1.1130636658229482,1.279963997334418
Y60,Midlands,201905,3031.8299999999995,942.1,1.0961011390763526,1.1195510862770917
Y62,North West,201906,2530.2499999999995,821.0,1.0527153367654147,1.1368534016460834
Y58,South West,201907,1652.8700000000001,503.73,1.0123607454268304,0.9975330498543742
Y61,East of England,201909,964.8000000000001,226.37,0.702395811833928,0.5909901223168804
Y56,London,201909,2486.6899999999996,687.31,0.9533151815391862,0.8767071682704567
Y60,Midlands,201911,2638.0,831.01,0.9537193064530066,0.9875365122674089
Y58,South West,201912,1181.97,382.14,0.7239408001065727,0.7567492102343528
Y58,South West,202001,1808.4600000000003,565.83,1.1076575372985207,1.120509252176961
Y61,East of England,202003,738.98,193.55,0.5379938402042247,0.5053060837320855
Y56,London,202003,2002.3099999999997,660.94,0.7676198163613992,0.8430705733899925
Y61,East of England,202004,313.36,97.54,0.22813303440742086,0.2546502475186134
Y56,London,202004,1035.7,334.62,0.39705332531201526,0.4268288729200219
Y60,Midlands,202005,1789.1399999999999,556.59,0.6468299317465247,0.6614275969758693
Y61,East of England,202008,812.1199999999999,233.79,0.5912413834023315,0.6103617117836438
Y56,London,202008,2037.53,609.55,0.7811220062981467,0.7775193936058793
Y63,North East and Yorkshire,202009,2662.09,867.54,0.9396612227537168,1.0593612844605989
Y58,South West,202011,1662.5100000000002,552.4,1.0182651163609722,1.0939139156682276
Y59,South East,202012,2552.92,900.53,0.9408304560010547,1.0589266275309985
Y63,North East and Yorkshire,202101,2927.3,974.6,1.0332747192495202,1.1900932612159665
Y60,Midlands,202112,3060.3,880.82,1.1063939323495589,1.0467285721415858
Y60,Midlands,202202,4029.94,1285.38,1.4569490454310954,1.527490261414763
Y63,North East and Yorkshire,202203,4718.62,1366.07,1.6655726286151642,1.6681209740912122
Y58,South West,202204,2354.68,742.31,1.4422099741913452,1.469991380774225
Y60,Midlands,202205,4377.610000000001,1239.63,1.5826425978475158,1.4731229307734544
Y59,South East,202206,4587.790000000001,1258.32,1.6907433674917662,1.4796492664928498
Y58,South West,202207,2163.4999999999995,611.11,1.3251147838190223,1.2101769243374558
Y58,South West,202208,2494.2899999999995,746.1,1.527719230012456,1.477496691672818
Y61,East of England,202209,1783.4499999999998,477.85,1.2983911801567356,1.2475355831122557
Y56,London,202209,2964.48,866.56,1.1364841574017215,1.105351826303192
Y63,North East and Yorkshire,202211,4782.2300000000005,1362.2,1.6880256074323208,1.6633952805544734
Y62,North West,202302,3400.88,1087.03,1.4149426082398042,1.5052299064449963
Y60,Midlands,202304,3833.08,1251.85,1.3857780133354398,1.4876446527502145
Y58,South West,202308,1889.8,521.28,1.157477198271869,1.0322871939890181
Y63,North East and Yorkshire,202310,3196.17,859.13,1.1281801180007989,1.049091754061639
Y62,North West,202311,2908.34,797.01,1.2100204021453718,1.10363401905718
Y58,South West,202403,1605.97,404.81,0.9836351233509755,0.8016424551079928
Y59,South East,202406,2675.73,865.64,0.9860897623253774,1.017899732219841
Y63,North East and Yorkshire,202409,2864.45,766.52,1.011090004288692,0.9360048087289787
Y59,South East,202410,2510.5699999999997,725.8,0.9252231632493646,0.8534629010271714
Y61,East of England,202505,1111.73,301.29,0.8093641126556101,0.7865857399516407
Y56,London,202505,2079.26,624.79,0.7971199161806131,0.7969589728997085
Y58,South West,202509,1207.27,345.17,0.7394367113756373,0.6835377738435955
Y59,South East,202511,1678.71,406.2,0.6186568693079025,0.4776476031926661
Y59,South East,201608,2279.1000000000004,721.7,0.8399192658884744,0.8486417410737251
Y63,North East and Yorkshire,201611,2061.95,647.31,0.7278245507315778,0.7904363522652444
Y58,South West,201612,903.77,292.57,0.5535470248080046,0.5793743560953174
Y60,Midlands,201702,1882.8200000000002,520.92,0.6806981745928166,0.619038904429957
Y58,South West,201706,1436.2199999999998,435.85,0.8796655210615004,0.8631107533381553
Y62,North West,201711,2160.22,660.06,0.8987636497529431,0.913996901693683
Y61,East of England,201712,878.3499999999999,299.26,0.6394582932466112,0.7812859654748846
Y56,London,201712,1611.6599999999999,475.64,0.6178574512622984,0.6067087595352316
Y62,North West,201804,2085.67,623.07,0.867746980113239,0.8627761863137944
Y59,South East,201807,2492.13,893.87,0.918427449475075,1.051095182338327
Y59,South East,201810,2552.09,866.38,0.9405245751749887,1.0187698927968047
Y62,North West,201811,2344.6000000000004,786.73,0.9754753002984654,1.0893991189732317
Y63,North East and Yorkshire,201901,2374.81,732.83,0.8382574850616448,0.8948656316610885
Y58,South West,201903,1506.22,522.57,0.922539583861284,1.0348417721048981
Y59,South East,202002,2713.3700000000003,838.31,0.9999612735219209,0.9857625855057702
Y60,Midlands,202006,2288.0499999999997,697.99,0.8272014628998489,0.8294612702585152
Y63,North East and Yorkshire,202010,2874.29,922.8,1.014563315270626,1.1268397921712434
Y63,North East and Yorkshire,202106,3698.3600000000006,1071.84,1.3054425206448452,1.3088339432605391
Y59,South East,202107,3972.0499999999997,1220.69,1.4638240182845483,1.4354004252615844
Y61,East of England,202108,1753.4499999999998,515.16,1.2765505143658797,1.3449417829781511
Y56,London,202108,2664.1499999999996,873.87,1.0213475105049776,1.114676191436912
Y59,South East,202109,3945.08,1212.1,1.4538847340929764,1.4252995072127783
Y59,South East,202111,4182.17,1228.31,1.541259776324339,1.4443607274189652
Y61,East of England,202201,2137.24,610.68,1.5559581518282999,1.5943183632834408
Y56,London,202201,2728.13,935.73,1.0458753387887112,1.1935825152634394
Y60,Midlands,202212,3409.7399999999993,991.14,1.2327273949905513,1.177828111296759
Y60,Midlands,202301,4292.57,1300.04,1.5518979845720176,1.5449115743590598
Y63,North East and Yorkshire,202303,4561.71,1212.19,1.610186731646134,1.4802166533073902
Y59,South East,202307,3564.6700000000005,1102.13,1.3136918123534151,1.2959865901199732
Y60,Midlands,202312,2510.85,697.89,0.9077506143318922,0.8293424345631244
Y59,South East,202401,2839.07,863.86,1.0462856347707388,1.0158066432644426
Y61,East of England,202402,1537.86,388.98,1.1195962097708585,1.0155203329894427
Y56,London,202402,3135.72,892.04,1.2021319428863497,1.137853170161904
Y63,North East and Yorkshire,202405,3094.6400000000003,797.42,1.0923421846678971,0.9737370904564293
Y59,South East,202408,2441.3100000000004,753.15,0.899698698173047,0.8856235655946737
Y61,East of England,202412,1179.52,319.92,0.8587167371210143,0.8352235717260078
Y56,London,202412,2249.59,672.97,0.8624188375868075,0.858415595627838
Y62,North West,202502,2146.34,577.66,0.8929888492888374,0.799896146156975
Y60,Midlands,202503,2620.11,732.85,0.9472515132792219,0.8708873936717616
Y59,South East,202504,1892.29,608.71,0.6973677450081616,0.7157776281127716
Y60,Midlands,202506,2596.4199999999996,767.78,0.9386868391435614,0.9123967020717816
Y61,East of England,202507,1560.1999999999998,360.45,1.1358602255631158,0.9410363104171027
Y56,London,202507,2457.9700000000003,635.4,0.9423048778769666,0.8104926957545332
