org_code,month_key,month_start,fy,month_name,days_in_month,is_winter,winter_label,is_summer,methodology_break,att_type1,att_type2,att_other,att_all,over4hr_type1,over4hr_all,dta_4to12hr,dta_12hr_plus,emadm_via_ae,type1_performance,alltype_performance,att_type1_per_day,type1_meets_95,type1_meets_interim
G3P9C,202606,2026-06-01,2026-27,June,30,false,,true,true,0.0,0.0,1560.0,1560.0,0.0,27.0,0.0,0.0,0.0,,0.9826923076923076,0.0,,
RJC,202606,2026-06-01,2026-27,June,30,false,,true,true,8845.0,0.0,443.0,9288.0,2115.0,2115.0,353.0,88.0,1773.0,0.7608818541548897,0.7722868217054264,294.8333333333333,false,false
RTP,202606,2026-06-01,2026-27,June,30,false,,true,true,10249.0,0.0,0.0,10249.0,4393.0,4393.0,509.0,606.0,3157.0,0.5713728168601815,0.5713728168601815,341.6333333333333,false,false
RBS,202606,2026-06-01,2026-27,June,30,false,,true,true,6141.0,0.0,0.0,6141.0,1097.0,1097.0,1.0,0.0,831.0,0.8213645985995766,0.8213645985995766,204.7,false,true
RDR,202606,2026-06-01,2026-27,June,30,false,,true,true,0.0,0.0,12817.0,12817.0,0.0,401.0,0.0,0.0,0.0,,0.9687134274791293,0.0,,
RTQ,202606,2026-06-01,2026-27,June,30,false,,true,true,0.0,0.0,8750.0,8750.0,0.0,346.0,0.0,0.0,0.0,,0.9604571428571429,0.0,,
NNJ14,202606,2026-06-01,2026-27,June,30,false,,true,true,0.0,0.0,541.0,541.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,
RDE,202606,2026-06-01,2026-27,June,30,false,,true,true,11828.0,0.0,13707.0,25535.0,4936.0,5873.0,883.0,615.0,5077.0,0.5826851538721678,0.77000195809673,394.26666666666665,false,false
RHW,202606,2026-06-01,2026-27,June,30,false,,true,true,11235.0,2833.0,3320.0,17388.0,4048.0,4148.0,734.0,47.0,2262.0,0.6396973742768135,0.7614446744881528,374.5,false,false
RR7,202606,2026-06-01,2026-27,June,30,false,,true,true,5867.0,0.0,4858.0,10725.0,2359.0,2394.0,582.0,5.0,1882.0,0.5979205726947332,0.7767832167832168,195.56666666666666,false,false
RW4,202606,2026-06-01,2026-27,June,30,false,,true,true,0.0,0.0,13989.0,13989.0,0.0,355.0,0.0,0.0,0.0,,0.9746229180070055,0.0,,
RWD,202606,2026-06-01,2026-27,June,30,false,,true,true,17123.0,0.0,4321.0,21444.0,5236.0,5635.0,690.0,1034.0,4706.0,0.6942124627693745,0.7372225331094945,570.7666666666667,false,false
R1H,202606,2026-06-01,2026-27,June,30,false,,true,true,26847.0,987.0,18586.0,46420.0,10538.0,12386.0,1046.0,1112.0,4219.0,0.6074794204194137,0.7331753554502369,894.9,false,false
RAT,202606,2026-06-01,2026-27,June,30,false,,true,true,0.0,0.0,1696.0,1696.0,0.0,53.0,0.0,0.0,0.0,,0.96875,0.0,,
