org_code,org_name,icb_code,icb_name,region_name,imd_score,deprivation_quintile,core20_proxy,catchment_population,type1_performance_12m,att_type1_12m,dta_12hr_12m
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",Midlands,21.1,3,false,967419,0.6153253094616011,23347.0,831.0
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,QWE,NHS South West London Integrated Care Board,London,15.5,5,false,501846,0.6736073258475962,9173.0,418.0
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,Midlands,23.9,2,false,337777,0.5336138061303339,11647.0,391.0
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,QHM,NHS North East And North Cumbria Integrated Care Board,North East and Yorkshire,29.1,1,true,480617,0.5165717244950803,7724.0,3.0
RWW,NORTH CHESHIRE AND MERSEY NHS FOUNDATION TRUST,QYG,NHS Cheshire And Merseyside Integrated Care Board,North West,21.2,3,false,215189,0.5431629347979158,7101.0,916.0
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,Midlands,22.9,3,false,665985,0.4945006039799097,15729.0,909.0
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,QM7,NHS Hertfordshire And West Essex Integrated Care Board,East of England,15.6,5,false,238956,0.7262390992383265,9059.0,318.0
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",South East,11.9,5,false,852784,0.6958897783251232,12992.0,8.0
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,QYG,NHS Cheshire And Merseyside Integrated Care Board,North West,26.6,2,false,291262,0.48521697663328567,8388.0,705.0
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,QYG,NHS Cheshire And Merseyside Integrated Care Board,North West,32.5,1,true,117479,0.8213645985995766,6141.0,0.0
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",South West,13.6,5,false,412431,0.5775442477876106,9040.0,135.0
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",South East,12.300000000000002,5,false,416861,0.6110175369067671,10093.0,263.0
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,QVV,NHS Dorset Integrated Care Board,South West,16.1,5,false,513788,0.6179091365461847,15936.0,399.0
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,QWE,NHS South West London Integrated Care Board,London,12.2,5,false,360954,0.6312411514865502,10595.0,758.0
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,QKS,NHS Kent And Medway Integrated Care Board,South East,15.6,5,false,523389,0.7697708795269771,18942.0,163.0
R1F,ISLE OF WIGHT NHS TRUST,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,South East,24.6,2,false,115516,0.6680790960451977,4248.0,251.0
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,QJ2,NHS Derby And Derbyshire Integrated Care Board,Midlands,20.3,3,false,802301,0.5564310238577339,22718.0,493.0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,QJK,NHS Devon Integrated Care Board,South West,18.5,4,false,598121,0.5300575013068478,13391.0,256.0
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,QMF,NHS North East London Integrated Care Board,London,29.9,1,true,280452,0.8026668975668889,11549.0,24.0
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QE1,NHS Lancashire And South Cumbria Integrated Care Board,North West,20.0,4,false,293738,0.54271138608488,9213.0,703.0
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,QHM,NHS North East And North Cumbria Integrated Care Board,North East and Yorkshire,22.9,3,false,256591,0.5767207610520425,8935.0,246.0
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,QOQ,NHS Humber And North Yorkshire Integrated Care Board,North East and Yorkshire,11.4,5,false,182420,0.6283393501805055,5540.0,11.0
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,Midlands,22.300000000000004,3,false,862018,0.43084654039427905,12935.0,1067.0
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,QKS,NHS Kent And Medway Integrated Care Board,South East,23.9,2,false,628346,0.5638835504306356,14049.0,1059.0
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,QH8,NHS Mid And South Essex Integrated Care Board,East of England,18.3,4,false,1089176,0.6626762814820077,28151.0,1086.0
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,QUA,NHS Black Country Integrated Care Board,Midlands,27.0,2,false,472919,0.6550571679859278,11370.0,744.0
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,QXU,NHS Surrey Heartlands Integrated Care Board,South East,12.8,5,false,325710,0.5607380830343414,7804.0,409.0
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,QRV,NHS North West London Integrated Care Board,London,23.4,2,false,595458,0.549220987913086,14313.0,473.0
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,QF7,NHS South Yorkshire Integrated Care Board,North East and Yorkshire,29.6,1,true,83527,0.9079754601226994,4890.0,0.0
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,QWE,NHS South West London Integrated Care Board,London,10.8,5,false,337389,0.45800794629401287,7299.0,563.0
