org_code,month_key,type1_performance,prev_month,mom_change,yoy_change,rolling_3m,national_rank
RXN,202305,0.6688879967884384,0.6534182666427417,0.015469730145696636,0.1347651248417322,0.6589207655570792,39
RRV,202305,0.6686814060760299,0.6799227460275656,-0.011241339951535756,0.007971356261844753,0.66355137607655,40
RP5,202305,0.6676760030280091,0.6001480019733596,0.06752800105464951,0.052358335491020425,0.6120692678881218,41
RA7,202305,0.6604712364817633,0.7146072796934866,-0.05413604321172327,0.03897447023599798,0.6843076980734096,42
RH5,202305,0.6539459624484811,0.656295409864091,-0.002349447415609829,-0.0003878227361133746,0.644118131475198,43
RJL,202305,0.652059899247809,0.6129597197898424,0.03910017945796662,-0.002910860986109043,0.6101174542639324,44
RTX,202305,0.6498230196509216,0.6106703146374829,0.039152705013438704,0.004761632636210766,0.6433856809452708,45
RNN,202305,0.6483710657095527,0.624699663623258,0.0236714020862947,-0.01239990934713664,0.6267155477032518,46
RKE,202305,0.6444520004533605,0.6805207811717576,-0.03606878071839714,-0.10847347686135933,0.6600247855359995,47
RGP,202305,0.6428673425674711,0.664047466324567,-0.02118012375709588,-0.00017025588697983096,0.6336580716108774,48
RTH,202305,0.6412631578947369,0.6384461200725399,0.0028170378221969994,0.026310984711316876,0.6162998833195079,49
RK5,202305,0.6403432648732041,0.6526348939743859,-0.012291629101181756,-0.11174559780250604,0.6402058982946909,50
RWJ,202305,0.6381444408567432,0.6537386018237081,-0.015594160966964976,-0.010032561324621714,0.6264236098158673,51
RNZ,202305,0.6364915572232646,0.6479430379746836,-0.011451480751418996,-0.003367762823628828,0.6286047484526953,52
RPA,202305,0.6337824831568817,0.6107419712070875,0.023040511949794173,0.04382867253332512,0.6020863827471734,53
RTK,202305,0.6278757866501599,0.6119063849125199,0.015969401737639943,-0.009709376105328404,0.5919675585708984,54
RBD,202305,0.6258639910813824,0.6912306558585114,-0.06536666477712905,0.10980894520982276,0.6143692178143818,55
RTD,202305,0.6248504665443815,0.6367376140225363,-0.01188714747815478,-0.0864975913383299,0.6198112273343944,56
RJ6,202305,0.6210259560743357,0.6704583472733356,-0.04943239119899989,-0.06591915316676678,0.6497097092197208,57
RYR,202305,0.6188375607564433,0.6150795459725578,0.0037580147838854883,0.10101140912258588,0.6046147767401937,58
