region,month_key,month_start,is_winter,winter_label,cat1_mean_sec,cat2_mean_sec,cat1_incidents,cat2_incidents
Y56,202501,2025-01-01,true,2024-25,440.0,2128.0,14569.0,60703.0
Y56,202504,2025-04-01,false,,402.0,1668.0,13274.0,56776.0
Y56,202508,2025-08-01,false,,401.0,1553.0,13130.0,58291.0
Y62,202511,2025-11-01,false,,430.0,1818.0,10961.0,48641.0
Y63,202512,2025-12-01,true,2025-26,444.7953475983308,1577.2983735785801,11263.0,66219.0
Y62,202512,2025-12-01,true,2025-26,429.0,2008.0,11510.0,49554.0
Y60,202512,2025-12-01,true,2025-26,515.0464342227315,2239.5176237174765,18327.0,88205.0
Y62,202605,2026-05-01,false,,415.0,1491.0,10810.0,48288.0
Y56,201710,2017-10-01,false,,,,,
Y62,201801,2018-01-01,true,2017-18,591.0,2399.0,10452.0,52623.0
Y63,201802,2018-02-01,true,2017-18,465.82002691186364,1409.1722519440743,8918.0,50281.0
Y62,201803,2018-03-01,false,,590.0,2204.0,10450.0,51616.0
Y56,201807,2018-07-01,false,,404.0,1247.0,10721.0,58926.0
Y58,201807,2018-07-01,false,,429.0,1685.0,5022.0,39543.0
Y63,201809,2018-09-01,false,,417.76629334772633,1218.0150350818576,7411.0,53874.0
Y58,201809,2018-09-01,false,,410.0,1620.0,4353.0,37725.0
Y63,201811,2018-11-01,false,,406.3904191616766,1293.038129209884,7515.0,57751.0
Y62,201812,2018-12-01,true,2018-19,461.0,1490.0,9273.0,53144.0
Y61,201812,2018-12-01,true,2018-19,447.0,1356.0,6998.0,43994.0
Y58,201812,2018-12-01,true,2018-19,409.0,1644.0,4488.0,42924.0
Y61,201908,2019-08-01,false,,465.0,1496.0,7157.0,41704.0
Y58,201908,2019-08-01,false,,434.0,1672.0,4417.0,40360.0
Y56,201909,2019-09-01,false,,401.0,1109.0,8976.0,57950.0
Y63,201911,2019-11-01,false,,436.7071087944993,1677.2461283185842,9017.0,63280.0
Y62,201912,2019-12-01,true,2019-20,449.0,1896.0,11276.0,57592.0
Y59,202003,2020-03-01,false,,467.88964617169376,1235.2329828063955,6896.0,58103.0
Y62,202005,2020-05-01,false,,410.0,911.0,6423.0,43931.0
Y61,202007,2020-07-01,false,,401.0,1152.0,6057.0,39347.0
Y60,202009,2020-09-01,false,,444.4711463680199,1219.6698543381888,12858.0,78950.0
Y62,202011,2020-11-01,false,,471.0,1737.0,7981.0,48711.0
Y58,202102,2021-02-01,true,2020-21,448.0,1454.0,6264.0,34278.0
Y58,202104,2021-04-01,false,,455.0,1509.0,7806.0,39441.0
Y56,202105,2021-05-01,false,,366.0,1200.0,8429.0,63418.0
Y62,202106,2021-06-01,false,,499.0,2295.0,12458.0,54028.0
Y56,202107,2021-07-01,false,,419.0,2389.0,10197.0,63554.0
Y62,202112,2021-12-01,true,2021-22,545.0,4003.0,14826.0,49880.0
Y58,202201,2022-01-01,true,2021-22,614.0,3445.0,7439.0,39083.0
Y63,202204,2022-04-01,false,,535.5777030273907,2581.4727005045156,10405.0,55697.0
Y59,202206,2022-06-01,false,,562.8883157389636,2260.053076923077,8336.0,59800.0
Y56,202209,2022-09-01,false,,434.0,2435.0,7508.0,36841.0
Y63,202209,2022-09-01,false,,555.5013513513513,2452.5253258214625,10360.0,56089.0
Y58,202212,2022-12-01,true,2022-23,791.0,9553.0,14929.0,34817.0
Y58,202303,2023-03-01,false,,587.0,3156.0,10033.0,37945.0
Y58,202307,2023-07-01,false,,558.0,2140.0,9725.0,39189.0
Y56,202308,2023-08-01,false,,443.0,2050.0,11740.0,52998.0
Y63,202309,2023-09-01,false,,485.0395184723952,2004.5996710008226,12045.0,57143.0
Y59,202312,2023-12-01,true,2023-24,526.310802594244,2086.4961126660446,9868.0,67527.0
Y56,202408,2024-08-01,false,,420.0,1818.0,12682.0,54421.0
Y62,202409,2024-09-01,false,,462.0,1735.0,9232.0,47799.0
Y56,202411,2024-11-01,false,,452.0,2510.0,14470.0,57513.0
Y59,202504,2025-04-01,false,,476.6149097262667,1432.1089072446994,8585.0,57021.0
Y63,202504,2025-04-01,false,,432.03750997605744,1395.6776351316041,12530.0,57407.0
Y59,202505,2025-05-01,false,,487.7012188544925,1560.4856484823486,9271.0,58182.0
Y56,202512,2025-12-01,true,2025-26,425.0,1938.0,15688.0,63817.0
Y56,202603,2026-03-01,false,,414.0,1551.0,14554.0,59665.0
Y59,202605,2026-05-01,false,,504.8091588241001,1772.6233262361013,10307.0,63405.0
Y56,202605,2026-05-01,false,,420.0,1941.0,15471.0,62070.0
Y58,202605,2026-05-01,false,,562.0,2424.0,8946.0,44915.0
Y63,202606,2026-06-01,false,,438.23594296475653,1407.5977821714089,11151.0,58165.0
Y63,201711,2017-11-01,false,,434.48345286442583,1213.7500950247065,11573.0,49987.0
Y62,201711,2017-11-01,false,,584.0,1834.0,7758.0,52872.0
Y61,201711,2017-11-01,false,,521.0,1468.0,6109.0,36475.0
Y61,201712,2017-12-01,true,2017-18,551.0,1925.0,7084.0,42475.0
Y63,201807,2018-07-01,false,,422.37359098228666,1195.0303553317556,8073.0,56201.0
Y63,201810,2018-10-01,false,,411.98505539809327,1211.568588469185,7762.0,56336.0
Y56,201812,2018-12-01,true,2018-19,378.0,1241.0,12148.0,60714.0
Y59,201909,2019-09-01,false,,453.182021753039,1134.505922771356,6252.0,55886.0
Y58,201910,2019-10-01,false,,422.0,1699.0,4861.0,42243.0
Y61,201912,2019-12-01,true,2019-20,497.0,1918.0,8520.0,47950.0
Y58,201912,2019-12-01,true,2019-20,428.0,1807.0,5726.0,46909.0
Y61,202001,2020-01-01,true,2019-20,467.0,1508.0,7347.0,44396.0
Y59,202002,2020-02-01,true,2019-20,456.0042802111571,1130.5946444563854,7009.0,55830.0
Y61,202002,2020-02-01,true,2019-20,495.0,1666.0,6808.0,41196.0
Y60,202003,2020-03-01,false,,455.16261725357526,1247.4219181949722,13006.0,85007.0
Y58,202007,2020-07-01,false,,407.0,1199.0,4796.0,38674.0
Y63,202009,2020-09-01,false,,441.6708625944084,1395.336359899194,7547.0,55949.0
Y61,202010,2020-10-01,false,,427.0,1425.0,6293.0,42921.0
Y59,202102,2021-02-01,true,2020-21,400.5359385903699,903.0025283402068,7165.0,48253.0
Y61,202102,2021-02-01,true,2020-21,404.0,1099.0,5232.0,38445.0
Y60,202106,2021-06-01,false,,463.2104086845466,1749.4305561633046,15660.0,91412.0
Y58,202106,2021-06-01,false,,518.0,2233.0,9669.0,44291.0
Y59,202111,2021-11-01,false,,531.4008528784648,1834.8923455101908,8911.0,61428.0
Y62,202204,2022-04-01,false,,511.0,2825.0,13081.0,46458.0
Y60,202206,2022-06-01,false,,535.1058917197453,3634.9826499391766,18840.0,81383.0
Y61,202206,2022-06-01,false,,615.0,3408.0,7862.0,37110.0
Y59,202209,2022-09-01,false,,575.6738110336081,2284.306728402499,7885.0,58097.0
Y58,202209,2022-09-01,false,,670.0,4134.0,9528.0,34654.0
Y62,202211,2022-11-01,false,,533.0,2656.0,9343.0,48742.0
Y59,202301,2023-01-01,true,2022-23,491.48277634961437,1380.0157126627632,7780.0,57215.0
Y60,202302,2023-02-01,true,2022-23,510.1536575925687,2065.078258226089,15502.0,69079.0
Y56,202305,2023-05-01,false,,453.0,2519.0,12300.0,51940.0
