region_name,month_key,breach_rate,vacancy_pressure_index,nursing_pressure_index,breach_dm,nurse_dm
London,202309,0.4223708533287196,1.139313406741108,1.071574919498691,0.014081171244079427,0.04025798931279767
North East and Yorkshire,202401,0.4369005418880334,1.2362869223134931,1.229815951332276,0.00293601772478691,0.00961213078293488
Midlands,202409,0.4193161487243038,1.0913289272320847,0.9916719944670102,-0.01655202376929582,0.03781677695275709
Midlands,202503,0.41379542119276025,0.947251513279222,0.8708873936717616,-0.012485242750454317,-0.018019031076563774
Midlands,202504,0.423769175604889,0.9144750946579068,0.8216537650713371,-0.009519544729897689,-0.016670385828152057
Midlands,202508,0.4056572679688297,0.8504732262646635,0.7503879985454512,-0.008051780689007249,0.023992211146874443
North East and Yorkshire,202510,0.3929347802410835,0.8461712688233277,0.6764335748518209,0.006528711207036797,-0.12784463179814454
London,202512,0.38232414631975553,0.7587487012240816,0.7483217577767618,-0.005423395216821558,0.11044131451820305
South West,202306,0.43263916598042296,1.1200175171170867,0.9482039484074235,0.023692378818701065,-0.10864340262758221
North West,202512,0.4319616948916578,0.7260397007130609,0.6221814499727383,-0.026386400394115883,-0.012012050869935953
South East,202211,0.3624363539300661,1.4810307360785606,1.3426107345478147,0.003456688655543494,-0.10893930902066917
South East,202311,0.41459132487459427,1.2031582748088006,1.155679076547967,0.005921034027031868,0.042817337956590595
North East and Yorkshire,202104,0.17408401709078533,1.071449371962544,1.2758395661642377,0.002388015210313288,0.1675643122490591
London,202105,0.180739811570293,0.9741895211773435,1.0506046646699145,-0.009308268157507404,-0.13419560704938327
South East,202108,0.23717154156136142,1.317185487330653,1.207806398678767,-0.0199801604128933,-0.041124633764415996
Midlands,202109,0.3594720089719747,1.2622608787449665,1.307168882160148,0.012945884331091229,-0.09880513447087536
Midlands,202208,0.403390619783155,1.4913668157018785,1.3585415532776075,0.003360339721653949,-0.04867639784158473
London,202210,0.3825694909260826,1.3040577588569062,1.2582408009855,0.0028654712008978622,-0.11806437978603124
South West,202212,0.4159716935428057,1.1708355312670584,1.0984487868971926,-0.03145397362903424,-0.013550948064828372
East of England,202212,0.41102129260792275,1.3874574152518468,1.3580737364845963,-0.015763125550906254,0.15736854805953326
Midlands,202302,0.4211692012527156,1.4078603390511906,1.4381495856199304,0.012029568205485563,0.010211305432653806
South East,202310,0.40077101454947506,1.17838192789744,1.318998809702643,-0.0036892453356340282,0.13748898733884252
North East and Yorkshire,202405,0.40451394244965777,1.092342184667897,0.9737370904564292,0.0143162900968683,-0.06159164597927802
London,202406,0.38814101856553124,1.119654340870682,1.0494566580187041,0.008600620126501701,0.07282978850416821
North West,202406,0.4295092428886773,1.1953088067267272,1.195676218335396,-0.020631709299548828,0.22273629123674454
North East and Yorkshire,202411,0.42739030002215017,1.0252973993113381,0.8583300371858351,0.01020777053648464,-0.06647098348277636
South East,202502,0.3808857808857809,0.771265604336825,0.7750543776867309,-0.0006367695114020688,-0.0189684922222515
North East and Yorkshire,202505,0.3689572701927278,0.9126759966796463,0.7994359288455457,-0.00789024121947135,-0.010921207914091013
North West,202105,0.2896888769168607,1.124138967577595,1.1318684171808873,0.029040243439863667,-0.04924491212252602
North West,202210,0.49351582119537923,1.3769778717592807,1.2197564627381066,0.04321124772099788,-0.1528617756175401
North East and Yorkshire,202402,0.4248418705572882,1.254052343220072,1.179848153005827,0.0009222175341164207,0.02620239289357862
North West,202404,0.4359091030753995,1.1479121735227689,0.9898517486390819,-0.015091348486051093,-0.013145402730288414
London,202404,0.39488223320732774,1.1508374223429998,1.103094079889145,0.014482335395073764,0.09640998610389029
Midlands,202602,0.4278015775172863,0.777321003191236,0.7172447231009461,-0.014088429629645516,-0.024819283313718188
South East,202307,0.3478399760413287,1.3136918123534151,1.2959865901199734,-0.006002790657753276,0.05766155213313073
South East,202105,0.14786975384175313,1.1719289480607908,1.1956359095279936,-0.020742162197369518,0.0027479962854279893
East of England,202109,0.28708998904621424,1.453044934621787,1.4048579525552702,-0.014868369507835821,-0.0024327219846833614
South West,202109,0.3076528572173641,1.3673151113462378,1.406859636329071,-0.014946750349696947,0.08827441525215951
East of England,202208,0.3585064086922823,1.4412145739850732,1.385512470351939,0.003043894717614626,-0.023022138676183523
